,model,metric,fold,value
317,LogisticRegression,precision,7,0.6153846153846154
318,LogisticRegression,precision,8,0.5833333333333334
319,LogisticRegression,precision,9,0.6111111111111112
320,LogisticRegression,recall,0,0.5185185185185185
321,LogisticRegression,recall,1,0.5555555555555556
322,LogisticRegression,recall,2,0.5555555555555556
323,LogisticRegression,recall,3,0.5185185185185185
324,LogisticRegression,recall,4,0.5185185185185185
325,LogisticRegression,recall,5,0.6296296296296297
326,LogisticRegression,recall,6,0.48148148148148145
327,LogisticRegression,recall,7,0.5925925925925926
328,LogisticRegression,recall,8,0.8076923076923077
329,LogisticRegression,recall,9,0.4230769230769231
330,LogisticRegression,f1,0,0.5833333333333334
331,LogisticRegression,f1,1,0.6382978723404256
332,LogisticRegression,f1,2,0.6382978723404256
333,LogisticRegression,f1,3,0.6511627906976745
334,LogisticRegression,f1,4,0.6086956521739131
335,LogisticRegression,f1,5,0.68
336,LogisticRegression,f1,6,0.6046511627906976
337,LogisticRegression,f1,7,0.6037735849056604
338,LogisticRegression,f1,8,0.6774193548387096
339,LogisticRegression,f1,9,0.5
340,LogisticRegression,balanced_accuracy,0,0.6892592592592592
341,LogisticRegression,balanced_accuracy,1,0.7277777777777779
342,LogisticRegression,balanced_accuracy,2,0.7277777777777779
343,LogisticRegression,balanced_accuracy,3,0.7392592592592593
344,LogisticRegression,balanced_accuracy,4,0.7092592592592593
345,LogisticRegression,balanced_accuracy,5,0.7548148148148148
346,LogisticRegression,balanced_accuracy,6,0.7107407407407407
347,LogisticRegression,balanced_accuracy,7,0.6962962962962963
348,LogisticRegression,balanced_accuracy,8,0.7538461538461538
349,LogisticRegression,balanced_accuracy,9,0.6415384615384615
350,LogisticRegression,mcc,0,0.40555555555555556
351,LogisticRegression,mcc,1,0.4957421042418413
352,LogisticRegression,mcc,2,0.4957421042418413
353,LogisticRegression,mcc,3,0.5627826821234976
354,LogisticRegression,mcc,4,0.46322369481325704
355,LogisticRegression,mcc,5,0.5313256180417312
356,LogisticRegression,mcc,6,0.49570177419236866
357,LogisticRegression,mcc,7,0.3961295342422729
358,LogisticRegression,mcc,8,0.48238191061886604
359,LogisticRegression,mcc,9,0.31588273760975755
360,LogisticRegression,tn_rate,0,0.5584415584415584
361,LogisticRegression,tn_rate,1,0.5844155844155844
362,LogisticRegression,tn_rate,2,0.5844155844155844
363,LogisticRegression,tn_rate,3,0.6233766233766234
364,LogisticRegression,tn_rate,4,0.5844155844155844
365,LogisticRegression,tn_rate,5,0.5714285714285714
366,LogisticRegression,tn_rate,6,0.6103896103896104
367,LogisticRegression,tn_rate,7,0.5194805194805194
368,LogisticRegression,tn_rate,8,0.4605263157894737
369,LogisticRegression,tn_rate,9,0.5657894736842105
370,LogisticRegression,fp_rate,0,0.09090909090909091
371,LogisticRegression,fp_rate,1,0.06493506493506493
372,LogisticRegression,fp_rate,2,0.06493506493506493
373,LogisticRegression,fp_rate,3,0.025974025974025976
374,LogisticRegression,fp_rate,4,0.06493506493506493
375,LogisticRegression,fp_rate,5,0.07792207792207792
376,LogisticRegression,fp_rate,6,0.03896103896103896
377,LogisticRegression,fp_rate,7,0.12987012987012986
378,LogisticRegression,fp_rate,8,0.19736842105263158
379,LogisticRegression,fp_rate,9,0.09210526315789473
380,LogisticRegression,fn_rate,0,0.16883116883116883
381,LogisticRegression,fn_rate,1,0.15584415584415584
382,LogisticRegression,fn_rate,2,0.15584415584415584
383,LogisticRegression,fn_rate,3,0.16883116883116883
384,LogisticRegression,fn_rate,4,0.16883116883116883
385,LogisticRegression,fn_rate,5,0.12987012987012986
